２０１．楽しい（たのしい）       えいがはたのしかった   たのしいパーティーです      たのしい休日（きゅうじつ）を過ごす（すごす）
２４９．習う（ならう）       にほんごを習う      ピアノを習う          料理を習う
    学习               学习日语。                     学习钢琴。                   学习做饭。
２５０．教室（きょうしつ）   教室に行きます　　きょうしつで勉強します  　教室は広いです
    教室               去教室。                       在教室学习。                 教室很宽敞。
２５１．学校（がっこう）     学校に行く        学校が好き             学校で勉強する
    学校               去学校。                       喜欢学校。                   在学校学习。
２５２．なつやすみ         　　夏休みは楽しい     夏休みに旅行する      夏休みは長い（ながい）
    暑假               暑假很快乐。                   暑假去旅行。                 暑假很长。
２５３．練習（れんしゅう）   毎日練習します   練習は必要です     　　彼は練習中です
    练习               每天练习。                   练习是必要的。               他正在练习。
２５４．生徒（せいと）       彼は生徒です        生徒たちは勉強します    あたらしい生徒が来ました
    学生               他是学生。                     学生们在学习。               新来的学生来了。
２５５．ノート               ノートを買う       ノートを開く（ひらく）    ノートに書く（かく）
    笔记本             买笔记本。                     打开笔记本。                 在笔记本上写。
２５６．教える（おしえる）   先生が教えまます    彼は私にえいごを教える     彼女は子供に数学を教える（すうがくをおしえる）
    教               老师教。                       他教我英语。                 她教孩子数学。
２５７．授業（じゅぎょう）   今日は授業がある  授業は終わりました（おわりました）   授業が好きです
    课程               今天有课。                     课程结束了。                   喜欢上课。
２５８．学生（がくせい）     彼は学生です       学生は勉強します        学生が多いです
    学生               他是学生。                     学生们在学习。               学生很多。
２５９．留学生（りゅうがくせい）　彼は留学生です    留学生がおおいです       留学生と話す
    留学生             他是留学生。                   留学生很多。                   和留学生说话。
２６０．覚える（おぼえる）   名前を覚える       歌詞を覚える（かしをおぼえる）   単語を覚える（たんごをおぼえる）
    记住               记住名字。                     记住歌词。                     记住单词。
２６１．テスト               テストを受ける（うける）　テストを結果（けっか）　   テストが難しい（むずかしい）
    考试               参加考试。                     考试的结果。                   考试很难。
２６２．会社（かいしゃ）     彼は会社で働く（はたらく）　私の会社は大きい     彼女は会社を辞めた（やめた）
    公司               他在公司工作。                 我的公司很大。               她辞去了公司。
２６３．警官（けいかん）     警官が来た（きた） 　　かれは警官です　　　　　警官に助けてもらった（にたすけてもらった）
    警察               警察来了。                     他是警察。                     请警察帮忙。
２６４．仕事（しごと）      仕事が忙しい        仕事を探す（さがす）     仕事が終わった（おわった）
    工作               工作很忙。                     找工作。                       工作结束了。
２６５．勤める（つとめる）   彼は銀行で務める     わたしは会社に勤める     彼女は学校で勤める
    任职               他在银行工作。                 我在公司工作。               她在学校工作。
２６６．働く（はたらく）     彼は働いています    私は毎日働く            彼女は病院で働く
    劳动               他在工作。                     我每天工作。                 她在医院工作。
２６７．忙しい（いそがしい）  今日はいそがしい     かれはいつも忙しい    週末も忙しい
    忙                 今天很忙。                     他总是忙。                   周末也忙。
２６８．三日（みっか）       三日後に会いましょう（みっかごにあいましょう）　三日で仕事が終わります　　三日間旅行します（みっかかん）
    三天               三天后见。                     三天完成工作。               三天去旅行。
２６９．誕生日（たんじょうび）　今日は誕生日です        彼の誕生日は五月です            誕生日のプレゼントをもらいました
    生日               今天是生日。                   他的生日在五月。               收到了生日礼物。
２７０．月曜日（げつようび）　月曜日は忙しい           月曜日にあいましょう             月曜日は休みです
    星期一             星期一很忙。                   星期一见面。                   星期一休息。
２７１．一昨日（おととい）   一昨日雨だった         　一昨日、友達に会った（ともだちにあった）　一昨日、映画を見た
    前天               前天下雨。                     前天见了朋友。               前天看了电影。
２７２．来月（らいげつ）     らいげつ、とうきょうにいきます     らいげつ、試験があります        来月、誕生日です
    下月               下个月去东京。                 下个月有考试。               下个月是生日。
２７３．水曜日（すいようび）  今日は水曜日です        水曜日に会いましょう      水曜日は雨が降る
    星期三             今天是星期三。               星期三见面。                   星期三会下雨。
２７４．午前（ごぜん）       午前中に会いましょう     午前十時です            午前の授業を終わりました
    上午               上午见面。                     上午十点。                   上午的课程结束了。
２７５．来週（らいしゅう）   来週、試験がある        来週、旅行に行く        らいしゅう、友達に会う（あう）
    下周               下周有考试。                   下周去旅行。                   下周见朋友。
２７６．毎月（まいつき）    毎月会います           毎月報告します（ほうこくします）   毎月貯金します（ちょきんします）
    每月               每月见面。                     每月汇报。                   每月存钱。
２７７．いつ                 いつきますか          いつ寝ますか                   いつ行きますか
    什么时候           你什么时候来？          你什么时候睡觉？           你什么时候去？
２７８．一昨年（おととし）   おととし、東京に行った 　おととし、彼は結婚した        一昨年、新しい仕事を始めた（はじめた）
    前年               前年去东京。                   前年他结婚了。               前年开始了新工作。
２７９．日曜日（にちようび）　今日は日曜日です     　日曜日に会いましょう         日曜日は休みです
    星期天             今天是星期天。               星期天见面。                   星期天休息。
２８０．五日（いつか）        五日後に会いましょう  　五日間旅行します（いつかかん）　いつかで仕事が終わります
    五天               五天后见面。                   五天去旅行。                   在五天内完成工作。
２８１．先月（せんげつ）     先月、東京に行った      先月の給料は少なかった（きゅうりょうはすくなかった）　先月、友達と映画を見た
    上个月             上个月去东京。               上个月的工资很少。           上个月和朋友看了电影。
２８２．金曜日              きょうはきんようびです  きんようびにあいましょう        金曜日は忙しい
    星期五             今天是星期五。               星期五见面。                   星期五很忙。
２８３．火曜日（かようび）   きょうはかようびです    かようびにあいましょう         火曜日は雨です
    星期二             今天是星期二。               星期二见面。                   星期二会下雨。
２８４．時々（ときどき）   　時々、映画を見ます     　時々　雨が降る            　ときどき外食します（がいしょく）
    有时               有时看电影。                 有时下雨。                   有时外出就餐。
２８５．土曜日（どようび）   土曜日は休みです      　土曜日に買い物に行きます      彼は土曜日に来ます
    星期六             星期六休息。                   星期六去购物。               他星期六来。
２８６．九日（ここのか）     九日は休みです         九日にあいましょう             九日に出発します（しゅっぱつします）
    九天               九号休息。                     九号见面。                   九号出发。
２８７．午後（ごご）        午後三時です          午後勉強します             　　午後会議があります（かいぎ）
    下午               下午三点。                     下午学习。                   下午有会议。
２８８．毎週（まいしゅう）   毎週日曜日に会います    毎週金曜日はパーティーです       毎週水曜日は映画を見ます
    每周               每周日见面。                   每周五有派对。               每周三看电影。
２８９．終わる（おわる）    授業が終わる（じゅぎょう）映画が終わる                  パーティーが終わる
    结束               课程结束。                     电影结束。                   派对结束。
２９０．今週（こんしゅう）   今週は忙しいです      今週の金曜日にあいましょう       今週の天気はいいです
    这周               这周很忙。                     这周五见面。                 这周的天气很好。
２９１．遅い（おそい）      彼は遅いです         バスが遅い                    遅い朝ご飯
    慢                 他很慢。                       公交车很慢。                   吃得很晚的早餐。
２９２．来年（らいねん）      来年、にほんにいきます らいねんの計画を立てます（けいかくをたてます）　来年はもっと勉強します
    明年               明年去日本。                   明年的计划。                 明年会更努力学习。
２９３．去年（きょねん）      去年は楽しかった      去年、東京に行った              去年の誕生日は忘れた
    去年               去年很快乐。                   去年去了东京。               去年的生日忘记了。
２９４．毎年（まいねん）      毎年　花火がある（はなび）　　まいねん、りょこうに行く    毎年　誕生日を祝う（いわう）
    每年               每年有烟火。                   每年去旅行。                 每年庆祝生日。
２９５．昨日（きのう）      昨日は雨がだった      昨日は忙しかった               昨日は友達に会った
    昨天               昨天下雨了。                   昨天很忙。                   昨天见了朋友。
２９６．四日（よっか）      四日ごに会いましょう  　四日間旅行します              四日で仕事を終わります
    四天               四天后见面。                   四天去旅行。                 四天完成工作。
２９７．今日（きょう）　　　今日は暑いです       　今日は日曜日です              今日は雨が降ります
    今天               今天很热。                     今天是星期天。               今天会下雨。
２９８．今年（ことし）      今年は２０２２年です  　今年の夏は暑いです          　今年の目標は瘦せること（もくひょうはやせること）
    今年               今年是2022年。               今年的夏天很热。           今年的目标是减肥。
２９９．明日（あした）      明日は雨です          明日学校にいきます           明日は休みです
    明天               明天会下雨。                   明天去学校。                   明天休息。
３００．明後日（あさって）  明後日会いましょう     明後日雨が降る            　明後日テストがある
    后天               后天见面。                     后天会下雨。                 后天有考试。
