课  　グループ　　　じしょけい　　　　　　ない形             ます形                て形
１５          　あつめる       　あつめない          あつめます              あつめて       收集
１５          　きる            きらない            きります               きって        切，断
１５            いれる          いれない            いれます               いれて        放（什么+に）（物＋を）
１５          　にる            にない              にます                 にて         煮，熬，炖
１５          　ならべる       　ならべない          ならべます           　　ならべて      摆，排
１５           とる            とらない         　　とります               とって         取
１５          　いう         　いわない             いいます               いって         说
１５          　あがる         あがらない          　あがります          　　あがって       进（别人的家）上（台阶）
１５          　はく         　はかない           　はきます               はいて         穿（鞋等）
１５          　すてる        　すてない           　すてます               すてて        扔
１５          　はこぶ        　はこばない          はこびます           　　はこんで       搬（场所+へ）（物+を）
１５          　ふく           ふかない          　ふきます               ふいて　　　　　　擦
１６          　おく         　おかない           　おきます               おいて         放置（场所+に）（物+を）
１６          　とめる        　とめない           とめます            　　とめて　　　　　　停（场所+に）（交通工具+を）
１６　　　　　　　たばこを～　すう すわない             すいます               すって　　　　　　吸
１６          　すむ          すまない              すみます         　　　すんで          住（场所+に）
１６          　しる         　しらない           しります                しって　　　　　　知道
１６           きく           きかない            ききます              　きいて          问
１６           たすける       　たすけない          たすけます           　たすけて         救助
１６          　のりかえる      のりかえない      　　のりかえます          のりかえて        换车（交通机关+に）
１６          　さわる        　さわらない          さわります           　さわって　　　　　　触，摸
１６           いれる        　いれない           　いれます           　　いれて           沏
１６          　やく          やかない           　やきます               やいて           烤
１６          もってくる       もってこない         もってきます           　もってきて       拿来
１６          もっていく       もっていかない        もっていきます          もっていって      拿去
１６          やくにたつ       やくにたたない        やくにたちます          やくにたって      有用
１７          なく          　なかない           　なきます               ないて           哭
１７          わらう         　わらわない          わらいます           　　わらって         笑
１７          おす          　おさない           　おします           　　　おして          推
１７          おこる         　おこらない           おこります              おこって        生气
１７          やる          　やらない             やります              　やって         喂（饲料）给（对象为动物，植物或者 下级时）
１７          おる          　おらない             おります              　おって          折
１７          しけんを～　うけるうけない           　うけます               　うけて         参加（考试）应试 投考
１７          ならぶ         　ならばない          ならびます              ならんで        排
１７          あやまる        あやまらない          あやまります          　あやまって       道歉
１７          やる          　やらない           　やります               やって          打（网球）做，干，搞 （比する随便的说法）
１７          きる          　きらない           　きります               きって          关
１７          かける         かけない            　かけます           　　かけて           浇（物+に）（液体，粉的物品+を）
１７          ぬく          　ぬかない           　ぬきます               ぬいて　　　　　　拔
１７          でる          　でない            　でます                でて             出来
１７          ある          　ない               あります              あって            有
１７          がんばる        がんばらない         がんばります           がんばって        加油
１８          さがす         さがさない           さがします           　さがして          找
１８          きがつく        きがつかない         きがつきます          　きがついて        注意到
１８          だす          　ださない           　だします              だして           提出，拿出
１８          わかれる        わかれない           わかれます           　わかれて          分别，分手
１８          おもいだす      おもいださない      　おもいだします        　おもいだして       想起
ま３          みつける        みつけない           みつけます           　みつけて
１９          おもう         おもわない           おもいます           　　おもって         想
１９          ふえる         ふえない            ふえます                ふえて           增加
１９          へる          へらない            　へります           　　へって            减少
１９          なくなる       なくならない         なくなります            なくなって         消失，丢失
１９          なおる         なおらない           なおります           　なおって           治愈
１９          くすりを～　のむ のまない       　　　のみます             　のんで             吃（药）
１９          でる          でない             　でます                でて              出席（聚会+に）
１９          ちがう         ちがわない           ちがいます           　ちがって　　　　　　　不同
１９          あるく         あるかない           あるきます             あるいて           走
１９          みえる         みえない            みえます               のんで            看见
１９          つかれる       つかれない           つかれます            　つかれて          累
２０          こわす         こわさない           こわします              こわして         弄坏
２０          しらせる        しらせない       　　しらせます             しらせて          通知
２０          うまれる        うまれない           うまれます           うまれて           出生
２０          そだてる        そだてない           そだてます           そだてて           培育
２０          ぼうしを～　かぶる　かぶらない         かぶります           かぶって           戴（帽子）
２０          メガネを～　かける  かけない         　かけます            かけて             戴（眼镜）
２０          する          　しない              します              して              系
２０          きめる         　きめない           きめます            　きめて            决定
２０          まとめる        まとめない           まとめます           まとめて           汇总
２１          ふる           ふらない             ふります　　　　　　　　ふって            下
２１          まよう         まよわない           まよいます            まよって          迷
２１          なくす         なくさない           なくします           　なくして         丢
２１          あう          　あわない            あいます              あって          遇（事故+に）
２１          おきる         おきない            　おきます             おきて           发生
２１          わすれる        わすれない           わすれます            わすれて         忘
２１          ひろう         　ひろわない          ひろいます           ひろって          拾
２１          たりる         　たりない           　たります           　たりて           够
２１          つく          　つかない           　つきます             ついて           到（场所+に）
２１          とどく         　とどかない          　とどきます          とどいて　　　　　　送到
２１          さく          　　さかない            さきます          　さいて           开（花）
２１          くみたてる       　くみたてない         くみたてます        くみたてて        构成，装配
２１          ふとる           ふとらない         　ふとります          ふとって          胖
２１          やせる           やせない             やせます         　やせて            瘦
２１          おとす         　おとさない          　おとします          おとして         掉
２１          われる         　われない           　われます           　われて          碎
２１          よう             よらない            よります            よって           醉
２１          こわれる        　こわれない          こわれます           こわれて         坏
２１          けんかする       　けんかしない     　　けんかします        　けんかして       打架
２２          くれる            くれない         　　くれます          　くれて          给
２２          つれていく        つれていかない        つれていきます     　つれていって      带着~去
２２      　　つれてくる         つれてこない          つれてきます         つれてきて      带着~来
２２          みる              みない             みます              みて            看
２２          なおす             なおさない       　なおします          　なおして        修理，修改
２２          とりかえる         とりかえない        とりかえます          とりかえて      交换，更换
２２          わたす             わたさない         わたします            わたして       交，递
２２          つける             つけない           つけます         　　つけて         开（电视等）
２２          くばる             くばらない       　　くばります         　くばって       分发
ま４          おどろく            おどろかない        おどろきます         おどろいて
