４０１．あっち         あっちにいって         あっちがすき                  　あっちをみて
    疾病               他生病了。                     病好了。                       疾病预防很重要。
４３０．風邪（かぜ）      風邪を引いた（ひいた）風邪薬をのむ（かぜくすり）    風邪で寝込む（ねこむ）
    感冒               感冒了。                       吃感冒药。                     因感冒卧床。
４３１．タバコ         タバコを吸います（すいます）　煙草を買います         タバコは禁止です（きんしです）
    香烟               吸烟。                         买香烟。                       禁止吸烟。
４３２．眼鏡（めがね） 　彼は眼鏡をかけている 　新しい眼鏡をかった          眼鏡を探しています
    眼镜               他戴着眼镜。                   买了新眼镜。                   正在找眼镜。
４３３．座る（すわる） 　椅子に座る          ベンチに座る              床に座る（ゆかにすわる）
    坐                 坐在椅子上。                   坐在长椅上。                   坐在地上。
４３４．撮る（とる）    写真を撮る          えいがを撮る              ビデオを撮る
    拍摄               拍照片。                       拍电影。                       拍视频。
４３５．要る（いる）    お金がいる         助けが要る                時間がいる
    需要               需要钱。                       需要帮助。                     需要时间。
４３６．取る（とる）  　鉛筆をとる         荷物を取る                写真をとる
    拿                 拿铅笔。                       拿行李。                       拍照片。
４３７．下手（へた）  　彼はうたが下手です　　私は料理がへた            かのじょは泳ぎがへた
    不擅长             他唱歌不行。                   我做饭不行。                 她游泳不行。
４３８．する          勉強する        　　食事する                 買い物する
    做                 学习。                         吃饭。                         购物。
４３９．上げる（あげる）　音量を上げる（おんりょう）     てを上げる              　　値段をあげる（ねだんをあげる）
    提高               增加音量。                     举手。                         提高价格。
４４０．引く（ひく）  ドアを引く       　荷物を引く                  線を引く
    拉                 拉门。                         拉行李。                       画线。
４４１．並べる（ならべる）   本を並べる       くつをならべる         さらをならべる
    排列               排书。                         排鞋。                         排盘子。
４４２．返す（かえす）　　本を返す           お金を返す               かさを返しました
    归还               还书。                         还钱。                       还了伞。
４４３．つける         眼鏡をつける      　ネクタいをつける           イヤリングをつける
    戴                 戴眼镜。                       系领带。                       戴耳环。
４４４．居る（いる）  猫がここにいる         友達が家にいる             先生が教室にいる
    在                 猫在这里。                     朋友在家。                   老师在教室。
４４５．見せる         写真を見せて      　新しいふくを見せる          彼にえをみせた
    显示               给我看照片。                   给他看新衣服。               给他看了画。
４４６．走る（はしる） 彼は速く走る（はやくはしる）犬が走っている         私は毎日走る
    跑                 他跑得很快。                   有狗在跑。                   我每天跑步。
４４７．入る（はいる） 部屋に入る       　　学校に入る                 みせに入る
    进入               进入房间。                     进入学校。                   进入商店。
４４８．消す（けす）  電気を消す       　　音を消す                  火を消す（ひをけす）
    关                 关灯。                         切音。                         灭火。
４４９．立つ（たつ）  かれは立った        駅前にたつ                 旗が立つ（はたがたつ）
    站                 他站了起来。                   在车站前站着。               旗子竖起来了。
４５０．磨く（みがく）　歯を磨く（はをみがく）靴を磨く                 技術をみがく（ぎじゅつをみがく）
    刷               刷牙。                         擦鞋。                         磨技术。
４５１．かかる       時間がかかる         お金がかかる             労力がかかる（ろうりょくがかかる）
    花费               花时间。                       花钱。                       需要劳动。
４５２．始める（はじめる）　パーティーが始める 　春がはじめる         試合がはじめる（しあいがはじめる）
    开始               派对开始了。                  春天开始了。                 比赛开始了。
４５３．飛ぶ（とぶ）  とりが飛んでいます（とんでいます）　紙飛行機が飛ぶ（かみひこうきがとぶ）    彼は高く飛びました
    飞                 鸟在飞。                       纸飞机在飞。                 他飞得很高。
４５４．書く（かく）  手紙を書く           名前を書く           日記をかく（にっき）
    写                 写信。                         写名字。                     写日记。
４５５．答える（こたえる）　質問に答える      先生が答える         電話に答える
    回答               回答问题。                     老师回答。                   接电话。
４５６．入れる（いれる）　コーヒーにさとうを入れる   　かぎをポケットに入れる     荷物を車に入れる
    放入               在咖啡里加糖。                 把钥匙放进口袋。             把行李放进车里。
４５７．開く（ひらく）    本を開く         窓を開く            ドアを開ける（あける）
    打开               打开书。                       打开窗户。                     打开门。
４５８．開ける（あける）　窓を開ける      　ドアを開ける          はこをあける
    开启               打开窗户。                     打开门。                     打开盒子。
４５９．切る（きる）     紙を切る         野菜を切る           電話を切る
    切                 切纸。                         切蔬菜。                     挂电话。
４６０．作る（つくる）    ケーキを作る     友達を作る            計画を作る（けいかくをつくる）
    制作               制作蛋糕。                     交朋友。                     制定计划。
４６１．吸う（すう）      たばこをすう    空気を吸う（くうきをすう）　匂いを吸う（におい）
    吸                 吸烟。                         吸空气。                     吸气味。
４６２．出る（でる）      学校を出る      電話を出る            電車を出る
    出                 离开学校。                     打电话。                     火车出发。
４６３．止まる（とまる）　バスが止まる     雨が止まる           時計が止まる
    停                 公交车停了。                   雨停了。                     钟停了。
４６４．聞く（きく）     音楽を聞く      先生の話を聞く（はなしをきく）　電話で聞く
    听                 听音乐。                       听老师讲。                   电话上听。
４６５．やる          　宿題をやる      そうじをやる          仕事をやる
    做                 做作业。                       打扫。                         做工作。
４６６．使う（つかう）   鉛筆を使う       電話を使う           傘を使う
    使用               使用铅笔。                     使用电话。                   使用雨伞。
４６７．見る（みる）     映画を見る      猫を見る              友達を見る
    看                 看电影。                       看猫。                         看朋友。
４６８．出す（だす）  　　手紙をだす    　ごみを出す           声を出す（こえをだす）
    拿出               寄信。                         丢垃圾。                       发出声音。
４６９．来る（くる）     先生がくる      友達が来る           雨が来る
    来                 老师来了。                     朋友来了。                   雨来了。
４７０．弾く（ひく）     かれはギターを弾く　　ピアノを弾くのが好き        彼女はうまく弾く（うまくひく）
    弹                 他弹吉他。                     她喜欢弹钢琴。               她弹得很好。
４７１．呼ぶ（よぶ）  　　友達を呼ぶ     先生を呼ぶ           猫を呼ぶ
    叫                 叫朋友。                       叫老师。                     叫猫。
４７２．締める（しめる）　ベルトを締める    靴紐を締める（くつひもをしめる）    首を締める（くびをしめる）
    系                 系皮带。                       系鞋带。                     收紧脖子。
４７３．脱ぐ（ぬぐ）     靴を脱ぐ         コートを脱ぐ                  帽子を脱ぐ（ぼうし）
    脱                 脱鞋。                         脱外套。                       脱帽子。
４７４．待つ（まつ）     駅で友達を待つ  　バスを待っています              彼女は返事を待つ（へんじをまつ）
    等                 在车站等朋友。               正在等公交。                 她在等回复。
４７５．話す（はなす） 　彼は話す         私は話します                    先生が話す
    说                 他说话。                       我说。                       老师说。
４７６．読む（よむ）  　本を読む       　　新聞を読む（しんぶんをよむ ）     手紙を読む
    读                 读书。                         读报纸。                     读信。
４７７．歩く（あるく） 　まいにちあるく     公園であるく                   友達と歩く
    走                 每天走路。                     在公园走。                   跟朋友一起走。
４７８．生まれる（うまれる）  私は東京で生まれた     かれはアメリカで生まれた      この花は春に生まれる
    出生               我出生在东京。                 他出生在美国。               这朵花在春天开放。
４７９．持つ（もつ）  　鉛筆をもつ         傘をもつ                     荷物を持つ
    拿                 拿铅笔。                       拿雨伞。                     拿行李。
４８０．押す（おす）  　ボタンを押す     　ドアを押す                  　エレベーターを押す
    按                 按钮。                         推门。                       按电梯。
４８１．掛ける（かける）   電話を掛ける   　眼鏡をかける                 時計をかける
    拨打               打电话。                       戴眼镜。                       挂钟。
４８２．置く（おく）    本を机におく      傘を置き忘れた               かぎをおいて出る
    放                 把书放在桌子上。               忘了放伞。                   放下钥匙出门。
４８３．曲がる（まがる）   みちが曲がる    右に曲がる                   角に曲がる
    转弯               路转弯。                       向右转。                     在拐角转弯。
４８４．歌う（うたう）   彼は歌います     私たちは歌いました              彼女は上手にうたう
    唱                 他会唱歌。                     我们唱过了。                 她唱得很好。
４８５．差す（さす）     かぎを差す       てをさす                     傘をさす
    插                 插钥匙。                       指向。                       撑伞。
４８６．立派（りっぱ）   彼の家は立派だ   彼女は立派なせんせいだ         立派な仕事をしている
    了不起             他的家很了不起。               她是位了不起的老师。         她在做很了不起的工作。
４８７．強い（つよい） 　彼は強いです     風が強い                    コーヒーが強い
    强                 他很强。                       风很大。                     咖啡很浓。
４８８．可愛い（かわいい）この猫は可愛い   彼女はかわいい服をきている    　可愛い赤ちゃんだ（あかちゃんだ）
    可爱               这只猫很可爱。                 她穿着可爱的衣服。           可爱的婴儿。
４８９．高い（たかい） 　このビールは高い   彼の身長は高い（しんちょうはたかい）　東京は物価が高い（ぶっかがたかい）
    贵                 这瓶啤酒很贵。                 他的身高很高。               东京物价很高。
４９０．難しいい（むずかしい） 漢字は難しい  　この問題は難しい           日本語は難しい
    难                 汉字很难。                     这个问题很难。               日语很难。
４９１．大きい         この部屋は大きい    彼の声は大きい             やまは大きいです
    大                 这个房间很大。                 他的声音很大。               山很大。
４９２．厚い（あつい） 　この本はあつい     厚い毛布がある（もうふがある）   彼は厚いセーターをきている
    厚                 这本书很厚。                   有厚毛毯。                   他穿着厚毛衣。
４９３．薄い（うすい）   薄い本          うすいふく                    薄い壁（うすいかべ）
    薄                 薄书。                         薄衣服。                     薄墙。
４９４．大きな（おおきな）大きな家です     大きな犬がいます               大きなきがある
    大的               这是一个大房子。               有一只大狗。                   有一棵大树。
４９５．小さな（ちいさな） ちいさないぬ    ちいさないえ                  ちいさなはな
    小                 一只小狗。                     一栋小房子。                   一朵小花。
４９６．短い（みじかい）  髪が短いです    短い夏やすみ                  短いスカート
    短                 头发很短。                     暑假很短。                     短裙。
４９７．狭い（せまい） 　部屋が狭い      道が狭い                    狭いはしを渡る（わたる）
    窄                 房间很狭。                     路很窄。                     过窄桥。
４９８．綺麗（きれい） 　彼女は綺麗です  　部屋が綺麗になった           綺麗な花が咲いた（さいた）
    漂亮               她很漂亮。                     房间变干净了。               漂亮的花开了。
４９９．太い（ふとい）　　ふといき       ふといえんぴつ                 太い脚（ふといあし）
    粗                 粗腿。                         粗铅笔。                       粗脚。
５００．面白い（おもしろい）  このほんは面白い        彼の話は面白い     えいがは面白かった
    有趣               这本书有趣。                   他的故事有趣。               电影很有趣。
５０１．長い（ながい） 　この道は長い     彼の髪は長い              映画は長かった
    长                 这条路很长。                   他的头发很长。               电影很长。
５０２．易しい（やさしい）この問題は易しい       彼は易しいひとです   このほんは易しいにほんで書かれている
    简单               这个问题简单。               他是个简单的人。               这本书用简单的日语写的。
５０３．汚い（きたない）　へやがきたない   きたないて            　　きたない言葉
    脏                 房间很脏。                     脏手。                         脏话。
５０４．低い（ひくい）  低                 这条路很低。                         他的声音很低。
５０５，軽い（かるい） 　カバンが軽い      彼は軽い食事をする（しょくじをする） 　軽い運動を始める（はじめる）
    轻                 包包很轻。                     他吃了轻食。                   开始轻运动。
５０６．小さい（ちいさい）   この部屋は小さい        子猫はちいさい         彼の声は小さい
    小                 这个房间小。                   小猫很小。                     他的声音小。
５０７．細い（ほそい） 　ほそいせん      　细道                    细指
    细                 细线。                         窄路。                         细手指。
５０８．映画（えいが） 　映画を見ます　　　映画が好きです           映画館に行きます
    电影               看电影。                       喜欢电影。                     去电影院。
５０９．雑誌（ざっし） 　雑誌を読む      雑誌を買う               雑誌を見る
    杂志               读杂志。                       买杂志。                       看杂志。
