第一课
1.到一年了		いちねんになります
1.觉得厌烦			いやになる
2.说的是呢			ほんとうですね
3.请出门			おでかけくたさい
4.明天晴天吧		あしたははれるでしょう
5.风				かぜがふいています
6.雷				かみなり
7.好天气			いいてんきですね
8.风有点大			かぜがちょうとつよかったです
9.雨在半夜停了		このあめはよなかにはやんで
10.明天风大			あしたはかぜがつよくなります
11.穿暖和服装		あたたかいふくそうをきます
12.明天会变凉吧		あしたはすずしくなるでしょう
13.今天傍晚雨会停吧	あめはきょうのゆうがたにはやむでしょう
14.现在也会下下雨	いまもすごしあめがふっています
15.昨晚也很热		ゆうべもとてもあつかったです
16.天气不太好		あまりてんきがよくないです
17.学校放假了		がっこうがやすみになりました
18.风也大			かぜもつよいです
19.初次看到雪		はじめてゆきをみました
20.城市变白了		まちがまっしろになりました
21.天气预报			てんきよほう
22.大概会变凉快吧	たぶんすずしくなるでしょう
23.每天都会30度		まいいち３０どになります
24.第一次触摸雪		はじめてゆきをさわる
25.要下雨吧			あめがふるでしょう
26.今天的气温		きょうのきおん
27.买了新的外套		新しいコートをかいました
28.今天下了一天雨	きょうはあめのいちにちでした
29.外面正在刮风		そとはかぜがふいています
30.每天都下个不停	まいにち　よくふりますね
31.昨天雨很大		きのうはすごいあめでした
32.大连现在凉快吧	大連はいますずしいでしょう
33.喜欢怎么样的天气	どんなてんきがすきですか
34.昨天怎么样了		きのうはどうでしたか
35.台风来了，吃了土豆饼　たいふうがきてます　コロッケをたべました
36.不过现在是阴天		ただいま　いまくもっています







第五课
1.宜居城市　　	すみやすいまち
2.让我想想	　	そうだなあ
3.绿色多	　	みどりおおいです
4.人温柔		ひとがやさしいです
5.景色漂亮		けしきがきれいです
6.人冷漠		ひとがつめたいです
7.居住的城市	すんでいるまち
8.热闹有方便			にがやかでべんりです
9.习惯这个城市吗		このまちにはなれましたか
10.又便宜又好吃			やすくでおいしいです
11.公交少有点不方便		バスがすくなくで　ちょっとふべんです 
12.有好的地方吗			いいところがありますか
13.你知道吗				しっていますか
14.能休息一整天			いちにち　ゆっくりできますよ
15.店铺多方便的地方		おみせはおおくて　べんりです
16.虽然远但是安静		とおいけど　しずかでいいです
17.这一带虽然安静		このあたりはしずかだけど
18.虽然距离有点远		ここから　ちょっととおいけど
19.从山坡上				おかのうえから
20.可以眺望大海和城市	うみとまちをみわたすことができます
21.有推荐的场所			おすすめのばしょがありますか
22.自己住的城市			じぶんのすんでいるまち
23.夕阳很美				ゆうひがとてもうつくしいです
24.能吃到当地的菜肴		じもとのりょうりをたべることができます
25.但是东西贵			でもものがたがいです
26.虽然建筑古老			たてものはふるいけど
27.学校人多吗			がっこうはひとがおおいですか
28.能洗露天温泉			ろてんぶろができます
29.受欢迎海滩			にんきのビーチです
30.好吃又便宜评价		おいしくて　やすいとひょうばんです
31.你的城市怎么样		あなたのまちはどうですか
32.请一定去看			ぜひ　いってみてください











第六课
1.城市有的东西				まちにあるもの
2.道路指示					みちあんない
3.直行						まっすぐいく
4.左拐						ひだりにまがる
5.过马路					みちをわたる
6.第三个拐角				みっつめのかど
7.过桥						はしをわたる
8.右拐						みぎにまがる
9.人行横道					おうだんほどう
10.拐弯后的地方				まがったところ
11.不是第一个是第二个		ひとつめじゃなくて　ふたつめです
12.有个白色大房子			しろくておおきないえがあります
13.从这里一直走				ここからまっすぐいく
14.然后一直走就到了			そのあと　ずっとまっすぐですよ
15.你家在哪里				いえはどのへん
16.请在下个信号灯左拐		つぎのしんごうをひだりにまがってください
17.在神社傍边有寺庙			じんじゃのとなりはおてらがあります
18.恭候您的光临				おまちしております
19.能看见黑色大楼			くろいビルがみえます
20.是在下一个拐角右边吧		つぎのかくをみぎですね
21.如何去好呢				どういったらいいですか
22.病院的停车场				びょういんのちゅうしゃじょう
23.在学校右侧有派出所		がっこうのみぎがわにこうばんあります
24.银行与便利店之间			ぎんこうとコンビニのあいだ
25.在邮局的后面				ゆうびんきょくのうしろにあります
26.公园前有个蓝色的大楼		こうえんのまえがあおいビルあります
27.到这个就好了				ここでいいです
28.开车送你回家				くるまでいえでおくるよ
29.请在那个拐角右边进入		その角をみぎにはいってください
30.在哪边					どのへん
31.向人问路					にんにみちをたずねる
32.问路的时候				みちをきくとき
33.能听见					きこえます











第七课
1.车站检票口			えきのかいさつ
2.公司同事				かいしゃのどうりょう
3.碰面时间				まちあわせじかん
4.几点钟去呢			なんじにいきますか
5.什么样地方			どんなばしょですか
6.约会的时间			やくそくのじかん
7.做记录呢				メモしましょう
8.明天定几点呢			あしたなんじにしますか
9.集合时间				しゅうごうのじかん
10.有点早				ちょっとはやいです　　おそい晚了
11.在哪碰面呢			まちあわせすることにしましたか
12.我不认识哪里			ちょっとわかりません
13.就那么办呢			じゃあそうしましょう
14.因事故车停运了		じこででんしゃがとまりました
15.迷路					みちにまよって
16.搞错时间了			じかんをまちがえました
17.迟到一个小时			いちじかんおくれます
18.在联系				またれんらくします
19.早上睡懒觉			あさねぼうする
20.现在刚起来			いまおきました
21.道歉词汇				あやまることば
22.地方在哪里			ばしょはどこですか
23.介绍房间				へやにあんないします
24.在5点开始			５じにはじまります     はじまる自动词
25.在公司门前集合		かいしゃのもんのまえでしゅうごうです
26.到达车站了			えきにつきました
27.集合场地				しゅうごうのばしょ
28.好的					いいですよ
29.因堵车稍晚一点		じゅうたいで　ちょっとおくれます
30.在集合地等你			しゅうごうのばしょで　まっています　　“待つ”（等待）
31.赶快去				いそいでいきます
32.请提前30分钟到		30ぷんまえに　きてください
33.发送消息				メッセージをわくります
34.迟到理由				おくれるりゆう
35.明天的碰面			あしたのまちあわせ
36.接下来会怎么做呢		これからどうしますか
37.为什么会迟到呢		どうしておくれますか				
38.马上就到				もうすぐつきます
39.和平鸽的雕像			へいわのとりのぞう
40.在咖啡店等着			カフェでまってます
41.在车站入口如何		えきのいりぐちでもいいですか
42.在几点开始的			なんじにはじまりますか
43.因感冒向学校请假		かぜでがっこうをやすみました
44.时间和地点			じかんとばしょ
45.请先开始				はじめてください
46.北口如何				きたぐちはいいですか

第八课
1.已经过去了吗			もういきましたか
2.家族成员				かぞくのメンバー
3.之后怎么办呢			そのあとどうしますか
4.在那之前				そのまえに
5.邀请对方做什么了		なににさそいましたか  誘う（さそう）
6.如何回复的呢			どうこたえましたか
7.下次一起去好吗		こんど　いっしょにいきませんか
8.取钱					おかねをおろす
9.用餐					しょくじをする
10.休息一下				ちょっとやすむ
11.肚子饿了				おなかがすきました　　空く（すく）
12.吃点东西好吗			なにかたべませんか
13.在用餐之前			しょくじのまえに
14.购物之后				かいもののあとで
15.那么去吧				じゃあいきましょう
16.表达自己的意愿时		じぶんのきぼうをつたえるとき　きぼう（愿望）
17.什么样感想			どんなかんそうですか
18.看过恐怖电影			ホラーえいがをみたことがあります
19.去过的地方			いったところ
20.练习一下吧			ちょっとれんしゅうしましょう
21.不 还没有			いいえ　まだです		
22.去过吗				いったことがありますか
23.还想去				またいきたいです
24.没看过				みたことがないです
25.有比赛				しあいがあります
26.一起看好吗			いっしょにみにいきませんか
27.已经登过了吗			もうのぼりましたか
28.我恐高				わたしはたかいところはちょっと
29.景色漂亮啊			けしきがきれいですよ
30.无聊的一天			つまらないいちにちでした
31.去古城了				おしろにいきました
32.缺少队员				メンバーがたりなくて
33.一点也不懂			ぜんぜんわかりません
34.现代作品				げんだいのさくひん
35.摔跤怎么样			プロレスはどうでしたか
36.虽然是第一次			はじめてでしたけど
37.还想看				またみたいです
38.感动了				かんどうしました
39.已经去了这个城市各各地方转过了吗	
もうこのまちのいろいろなところにいきましたか
40.可以去那家店转转吗			おみせみてもいいですか
41.经历和爱好					けいけんときょうみ
42.想去美食广场					フードコートにいきたいです
43.随便说吧						じゆうにはなしましょう
44.看过熊猫						パンダをみたことがある
45.看过漫画书					まんがのほんをよんだことがあります
46.度过无聊一天					つまらないいちにちをすごしました
47.我想去旅行您有推荐那个季节啊
りょこうにいきにいんですか　どのきせつがおすすめですか

第九课 
1.有哪些乐趣		なにをおもしろいですか
2.有哪些困难		なにがむずかしいですか
3.能简单说话		かんたんにはなすことができます
4.日本的学习经历	にほんごのがくしゅうけいけん
5.在哪里学习的		どこでべんきょうしましたか
6.哪里哪里			そんなことないです
7.通过看漫画学习的	アニメで　べんきょうしました
8.学了多久了		どれぐらいべんきょうしましたか
9.擅长会话			かいわはとくいです
10.日语说难			にほんごははなすのがむずかしいです
11.喜欢平假名		ひらがながすきです
12.日语文法和蒙语相似		にほんごはぶんぽうがモンゴル語とにています
13.教汉字					かんじをおしえる
14.确认日语 				日本語をチェックします
15.用简单语言说				かんたんなことばでいう
16.慢点说					ゆっくりはなす
17.写在纸上					かみにかく
18.说明工作					しごとをせつめいする
19.没有自信					じしんがありません		
20.能教我读法吗				よみかたをおしえてもらえませんか
21.有好的练习方法吗			いいれんしゅうのしかたがありますか
22.提问的人					しつもんしていろひと
23.想知道的事				しりたいこと
24.还差的远					まだまだです
25.完全不一样				ぜんぜんちがいます
26.能在说一遍吗				もういちど　せつめいしてもらえませんか
27.请在网上查找				ネットで　さがしてください
28.每天多次复读				
まいにち　なんかいもシャドーイングしています（shadowing）
29.推荐的学习方法		おすすめのがくしゅうほうほう
30.哪个建议好呢			どのアドバイスがいいですか
31.自学的				じぶんでべんきょうしました
32.日语文法简单			にほんごはぶんぽうがかんたんです
33.日语发音不擅长		にほんごのはつおんがにがてです
34.能让我看一下吗		ちょっとみせてまらえませんか
35.汉字书写难				かんじはかくのがむずかしいです
36.在志愿者教室免费教日语	
ボランティア（volunteer）きょうしつではむりょうでにほんごをおしえています
37.你是如何学习日语的		あなたはどうやってにほんごをべんきょうしましたか
38.说日语很辛苦				にほんごをはなすのがたいへんですね
39.请教我这个字典的用法		このじしょのつかいかたをおしえてください
40.汉字很难记				かんじをおぼえるのがむずかしいです
41.我喜欢吃，不喜欢做		たべるのがすきです　でもつくるのがにがてです
42.能教我这个汉字读法吗		このかんじのよみかたをおしえてもらえませんか
43.有好的学习方法			いいべんきょうしかたがあります
44.我不擅长记单词			わたしはことばをおぼえるのがにがてです
45.通过应用程序学习的		アプリでべんきょうしました

第十课
1.做过什么事			なにをしたことがありますか
2.面向外国人			がいこくじんむけ
3.有体验室				たいけんきょうしつがあります
4.日本语教师免费		にほんごきょうしつはむりょうです
5.看介绍传单			チラシをみています
6.你对那个学习班感兴趣	どんなきょうしつにきょうみがありますか
7.负责人				たんとうのひと
8.原有名额吗			まだあいていますか
9.有兴趣				きょうみがあります
10.已经满员了			もういっぱいです
11.自己尝试做的事		じぶんがやってみたいこと
12.公司同事				かいしゃのどうりょう
13.记录一下				ちょっとメモしましょう
14.能占用你一点时间吗	ちょっといいでしょうか
15.班级怎么样			クラスはどうですか
16.一周进行几次			週になんかいありますか
17.下次我拿教师宣传单回来吧		こんど　きょうしつのチラシをもってきましょうか
18.下次我拿申请书回来吧			こんど　もうしこみしょをもってきましょうか
19.教材自己买					きょうかしょはじぶんでかいます
20.不过不是什么值钱的东西		ただ　つまらないものです
21.使用日语的环境				にほんごをつかうばしょ
22.能使用的语言					できることば
23.是什么意思					どういういみですか
24.之前在哪里学习				まえにどこでべんきょうしましたか
25.什么时候使用日语呢			どんなとき　にほんごをつかいますか
26.想在加强学习一下会话			もっとかいわをべんきょうしたいです
27.在国内的日语学习学习了半年	
くにのにほんごがっこうではんとしべんきょうしました
28.想和日本人多交流			にほんじんとたくさんはなしたいです
29.请问一下老师				せんせいにきいてください
30.服装是必须的吗			ふくはひつようですか
31.我对书法感兴趣			わたしはしょどうにきょうみがあります
32.还是每周一次的课			それとも　まいしゅうのコースですか
33.奥运会每4年一次			オリンピックはよんねんにいちかいあります
34.道具这边准备				どうぐはこちらでよういします
35.我想参加烹饪学习教室		りょうりきょうしつにさんかしたいんですか
36.可以的话来帮忙吧			よかったらてつだいましょうか
37.年轻时学习各个国家的语言	わかいときいろいろなくにのことばをならいました
38.按什么顺序提问的			どんなじゅんばんでしつもんしましたか
39.请带						おまちください
40.欢迎光临					いらしてください
41.和店中的人说日语			おみせのひととにほんごをはなします
42.一共5次课程				全部でごかいのコースです
43.参加了					さんかされています
44.在市政府窗口				しやくしょのまどぐちで
45.确认词汇					ことばをかくにんする
46.商量一下吧				ちょっとそうだんしましょう
47.行动方便					うごきやすい
48.没有必要					ひつようありません
49.没有关系					かまいません
50.学会						みにつける

第11课
1.牛肉和猪肉				牛肉と豚肉	
2.准备饮料					飲み物を準備します
3.我做饭团带过去			おにぎりを作って持っていきます
4.我带什么过去好呢			何を持っていけばいいですか？
5.要买什么呢				何を買いますか？
6.我什么都可以				何でもいいです
7.想吃什么呢				何を食べたいですか？
8.那么就买盐味吧			じゃあ、塩味を買いましょう
9.那个好呢					どれがいいですか？
10.甜点怎么办呢				デザートはどうしますか？
11.俩都买吧					両方買いましょう
12.这个料理使用鸡蛋了吗		この料理には卵が使われていますか？
13.这个料理和消费期限		この料理と消費期限は
14.这个点心可能放多久		このお菓子はどのくらい保存できますか？
15.过敏原					アレルギーもの
16.不能吃的东西				食べられないもの
17.这个生鱼片能放多久		この刺身はどのくらい持ちますか？
18.我对虾过敏					私はエビにアレルギーがあります
19.我带香蕉过去					バナナを持っていきます
20.烧着吃吧						焼いて食べましょう
21.这个菜使用牛肉				この料理は牛肉を使っています
22.请尝尝看						ぜひ試してみてください
23.饮料买回来了					飲み物を買ってきました
24.有好多种，你喜欢哪一种		いろいろがありますが、どれが好きですか？
25.要买多少						どれくらい買いますか？
26.多少都行						どれくらいでもいいです
27.我带甜点过去					デザートを持っていきます
28.您喜欢哪一个					どれが好きですか？
29.我做了家乡的菜肴带过去		郷土料理を作って持っていきます
30.这个专柜的商品都是清真的		このコーナーの商品はすべてハラルです
31.是烤着吗						焼いたものですか？
32.这个菜没有放鸡蛋				この料理には卵が入っていません
33.能放一周左右					1週間くらい持ちます
34.食物的材料					食材
35.准备怎么办呢					準備はどうしますか
36.我对花生过敏					私はピーナッツにアレルギーがあります
37.乳制品怎么办					乳製品はどうしますか？
38.想和谁去呢					誰と行きたいですか？
39.哪种都可以					どれでもいいです
40.使用牛肉和蔬菜				牛肉と野菜を使っています

第12课
1.味道怎么样				味はどうですか？
2.从外观					見た目から
3.味道有点淡				味が少し薄いです
4.看起来好吃的样子			おいしそうですね
5.是什么味道				どんな味ですか？
6.不怎么辣					あまりからくないです
7.吃饱了					お腹がいっぱいです
8.推荐食物					おすすめの料理
9.味道香					香りがいいです
10.里面放了什么				中に何が入っていますか
11.下次买了尝尝				次に買って食べてみます
12.在我家院子收获的			私の家の庭で収穫したものです
13.有时也放白果				時々銀杏も入れます
14.请尝尝这个厚蛋烧			この厚焼き卵を試してみてください
15.茶碗蒸不甜很好吃			茶碗蒸しは甘くなくておいしいです
16.吃过的厚蛋烧怎么样		食べた厚焼き卵はどうでしたか？
17.食品制作方法				食品の作り方
18.没有的事					そんなことはありません
19.味道重					味が濃いです
20.自己国家的菜肴			自分の国の料理
21.淋上酱汁					ソースをかけます
22.看起来好吃的蛋糕			おいしそうなケーキ
23.和布丁相似				プリンに似ています
24.外面感觉冷				外は寒い感じです
25.在稍稍加点盐				少し塩を足してください
26.请好好搅拌				よく混ぜてください
27.这个菜孩子们喜欢			この料理は子供たちが好きです
28.请看一下制作方法			作り方を見てください
29.要尝尝什锦煎饼			お好み焼きを試してみませんか？
30.小朋友也可以吃			子供も食べられます
31.取出料理包				料理パックを取り出します
32.有点酸，我不喜欢			少し酸っぱくて、私は好きではありません

第13课
1.棘手的事情是什么				こまったことはなんですか
2.机器不转						きかいがうごかない
3.不擅长什么工作				どんなしごとがにがてですか
4.擅长什么工作					どんなしごとがとくいですか
5.在单位遇到困难时				しょくばでこまったことがあったとき
6.大概要花多长时间				どのぐらいかかりそうですか		
7.那么麻烦在仓库那些回来		じゃあそうこにとりにいってくれる
8.还有大约10分钟就能完成		あと１０ぷんぐらいでおわりそうです
9.那么请联系维修公司			じゃあきょうしゃにでんわしてください
10.在单位发生了棘手的事情		しょくばでこまったことがおてりました
11.把手放这里，水会流出来		ここにてをかざすとみずがながれます
12.能作出简单回答				かんたんにこたえることができます
13.你一个人能完成吗				ひとりで　でききそうですか
14.应该怎么去做					どうすればいいですか
15.我之前用过一次				わたしはまえに　いちどつかったことがあります
16.请按这个按钮					このボタンをおしてください
17.使用会话内容进行练习			かいわの内容で　れんしゅうしましょう
18.我不懂做法					つくりかたがわかりません
19.请尽量使用黑白				できるだけ　しろくろにしてください
20.没有使用过吗					つかったことないですか
21.说明使用方法					つくりかたをせつめいします
22.能复印彩色吗					カラーコピーはできますか
23.身边的东西					みのまわりのもの
24.资料要放哪里					しりょうはどこにもどしますか
25.布置教室						きょうしつのセッテイング
26.饮料要准备呢					のみものはよういしますか
27.因为拜托外面的店				そとのみせにたのんだから
28.要如何摆放					どうやってならべますか
29.这个可以吗					これで　いいですか
30.请联系管理室					かんりしつにれんらくしてください
31.暂且在启动看					とりあえず　さいぎどうしてみてください
32.通知短信						おしらせのメール
33.询问工作情况				しごとのじょうきょうをしつもんします
34.想复印双面时				りょうあんコピーしたいとき
35.变更内容是什么			へんこうになったのはなんですか
36.有不懂的吗				わからないことある
37.地点也变更了				ばしょもへんこうになりました
38.请打开上面右边的门		うえのみぎのとびらをあけてください
39.不好意思，明天时间不方便	すみません　あしたはつごうがわるいです
40.在学校没有遇到困难		がっこうでこまったことがないですか
41.请放一张四方形长桌子		しかくい长いテーブルをひとつおいてください
42.资料请按人数复印			しりょうをにんずうぶんコピーしてください
43.在哪里举行				どこでありますか

第14课
1.什么时候请假				どんなときしごとをやすみますか
2.非常抱歉					もうしわけありません
3.道路堵塞完全不动了		みちがこんで　いてぜんぜんうごきません
4.忘记钱包了				さいふをわすれました
5.给单位打电话				しょくばにでんわをかけます
6.请求许可时				きょかをもとめるとき
7.想休假时					きゅうかをとりたいとき
8.上司同意了吗				じょうしはきょかしましたか
9.去祈祷					おいのりにいく
10.可以打扰一下吗			ちょっといいでしょうか
11.事情都办好了吗			ようじはすみましたか
12.请好好休息				ゆっくりやすんでください
13.如果可以的话				できたら				
14.请交请假单				きゅうかとどけをだしてください
15.带印章了吗				ハンコもってますか
16.从昨天开始咳嗽厉害		きのうから　せきがひどくて
17.我可以休息一下吗			ちょっと　きゅうけいしてもいいですか
18.我能早点下班吗			そうたいしてもいいですか
19.能稍后再问吗				あとにして　もらえませんか
20.道歉时					あやまるとき
21.今天有燃气检查			きょうはガスのてんけんがあります		
22.我可以请假吗				やすみをとってもいいでしょうか
23.必须去一趟政府机关		しやくしょにいかなければならないんです
24.因此会稍微晚一点			それで　すこしおくれます
25.因发烧没去公司上班		ねつがあって　かいしゃをやすみました
26.今天想休息一天			きょうはいちにちやすみたいんですか
27.今天好像要晚一些			きょうはおそくなりそうです
28.请回头联系				またあとでれんらくしてください
29.没有关系的				べつにかまいません
30.说明理由					りゆうをせつめいします
31.打算请假					やすみをとるつもりです
32.昨天请假抱歉					きのうはやんで　すみませんでした
33.不好意思，我能问个问题吗		すみません　しつもんしていいでしょうか
34.请在理由的地方写上私事		りゆうのところにしよう　と　かいてください
35.请在这里写上休息中的联系方式
ここにやすみちゅうのおれんらくさきをかいてください
36.请在休息前一天交请假单　		
やすみのまえのにちまでにきゅうかとどけをだしてください
37.刻印章了吗		ハンコをつくりましたか
38.身体不太舒服		ぐあいがわるい
39.去去就来			いってくる

第15课
1.嗓子疼			のどがいたい
2.肚子疼			おなかがいたい
3.发烧				ねつがある
4.咳嗽				せきが
5.眼睛痒			めがかゆい
6.没有食欲			しょくよくがない
7.流鼻涕			はなみずがでる
8.恶心想吐			はきけがする
9.脚扭伤了			あしがくじいた
10.碰到头了			あたまがぶつけたんです
11.自己症状			じぶんのしょうじょう
12.和医生说话				いしゃのはなしています
13.是怎么样的症状呢			どんなしょうじょうですか
14.拍x片					レントゲンをとる
15.今天怎么样了				きょうはどうしましたか
16.在路上摔倒了				まちでころびました
17.因身体不舒服来附近医院看病		
ぐあいがわるいのできんじょのびょういんにきました
18.感冒时请注意保暖好好休息		
かぜのときはあたたかくしてゆっくりやんでください
19.吃药			くすりをのむ
20.吃辣的东西				からいものをたべる
21.在前台拿到什么			うけつけで　なにをもらいましたか
22.吃柔软的东西				やわらかいものをたべる
23.带保险证了吗				ほけんしょうはおまちですか
24.今天怎么样了				きょうはどうされましたか
25.请让我看一下嗓子			ちょっとのどをみせてください
26.请张开嘴					くちをあけてください
27.请做一下流感检查好吧		インフルエンザのけんさして
28.请尽量避免与人接触		できるだけひとにあわないでください
29.一共3200日元			おかいけいは３２００円になります
30.请多保重					おだいじに
31.生病						びょうきにかかる
32.有什么过敏吗				なにがアレルギーはありますか
33.退烧						ねつがさがる
34.需要注意什么				ちゅういてんはなんですか
35.吃退烧药					げねつざいをのむ
36.这是止咳药				これはせきをおさえるくすりです
37.请和保护胃药一起吃		いをまもるくすりといっしょにのんでください
38.请在饭后吃				ごはんをたべあと　のんでください	
39.吃了这个药就是犯困		このくすりをのむとねむくなります
40.疼的受不了时				いたくてがまんできないとき
41.吃完之后 请不要开车		のんだとき　うんてんしないでください
42.这是退烧药				これはねつをさげるくすりです
43.有止疼药吗				いたみをどめるくすりがありますか
44.高热受不了，请吃			ねつがたかくてつらいとき　のんでください
45.咳嗽不停时，请吃这个药	せきをとまらないとき　このくすりをのんでください
46.请不要进行激烈运动		しばらくはげしい　うんどうをしないでください
47.药品说明书				くすりのせつめいしょ
48.从药房拿到的药			やっきょくでもちったくすり
49.有花粉症吗				かふんしょうがありますか
50.骑自行车摔倒的			じてんしゃでころんだんです
51.在楼梯摔倒了				かいたんでころんだんです
52.你知道有流感吗			インフルエンザをしってますか

第16课
1.状态不好			ちょうしがわるい
2.泡澡				おふろにはいる
3.喝太多了			のみすぎました
4.那可不行			それはいけません
5.你是怎么做的		どうしていますか
6.累了				つかれています
7.饮食生活			しょくせいかつ
8.吃太多了			たべすぎました
9.注意				きをつけます　（ちゅういします）
10.感染了			かんせんされました
11.食物中毒			しょくちゅうどく
12.受污染			おせんされた
13.沾染病毒的手		ウイルスがついたて
14.怎么办			どうしたら
15.接种疫苗			よぼうせっしゅ
16.睡眠不足			すいみんぶそく　（ねぶそく）
17.为了保持健康		けんこうのために
18.具体注意些什么			どんなことにきをつけていますか
19.肩膀酸痛					かたがこる
20.身体懒倦					からだがだるい
21.胃的状态不好				いのちょうしがわるい
22.宿醉						ふつかよい
23.睡不好的时候				よくねむれないとき
24.请喝热饮					あたたかいのみものをのんでください
25.身体不舒服的人			からだのちょうしかわるいひと
26.提出建议时				アドバイスをするとき
27.早睡早起					はやくおきる　はやくねる
28.别吃太多了				たべすぎないように
29.别喝太多了				のみすぎないように
30.举例子的时候				れいをあげるとき
31.注意的事					きをつけていること
32.电视节目					テレビのじょうほうぼんぐみ
33.是怎么的一种疾病			どんなびょうきですか
34.会出现那种症状			どんなしょうじょうがでますか
35.昨天喝多了				きのうのみすぎました
36.吃太多肚子疼				たべすぎてあなかがいたいです
