３０１．プロ          　　彼はプロの選手だ（せんしゅだ）      プロのカメラマンがきた       彼女はプロの歌手です（かしゅです）
３４１．快適（かいてき）　　この部屋は快適です      　　快適な旅行を楽しんだ（たのしんだ）       彼は快適な生活を送っている（かいてきなせいかつをおくっている）
    舒适     这个房间很舒适。        享受了一次舒适的旅行。            他过着舒适的生活。
３４２．隠れる（かくれる）　子供が隠れる     　猫が車の下に隠れる           彼は木陰に隠れた（こかげにかくれた）
    隐藏     孩子们在藏起来。        猫藏在车底下。     他躲在树荫下。
３４３．頂く（いただく）　　ご飯を頂く      　プレゼントを頂く            　アドバイスを頂く
    接受     吃饭。      收到礼物。           接受建议。
３４４．偶に（たまに）　　　たまに映画を見る        たまに外食する（がいしょくする）      たまに彼にあう（かれにあう）
    偶尔     偶尔去看电影。     偶尔外出就餐。     偶尔见他。
３４５．合わせる（あわせる）時間を合わせましょう            　　味を合わせる（あじをあわせる）       予定を合わせる（よていをあわせる）
    调整     让我们调整时间。        调整味道。         调整计划。
３４６．試す（ためす）　　　新しい靴を試す         　料理を試す（ためす）      　　このペンを試す
    尝试     尝试新鞋。         尝试做菜。         试试这支笔。
３４７．濡れる（ぬれる）　　雨で服が濡れた     水たまりで靴が濡れる          汗でシャツが濡れる（あせでシャツがぬれる）
    湿       衣服被雨淋湿了。     鞋子被水洼弄湿了。        衬衫被汗湿了。
３４８．今回（こんかい）　　今回の試験は難しい       今回の旅行は楽しかった        今回の会議は長かった
    这次     这次考试很难。     这次旅行很愉快。     这次会议很长。
３４９．独り（ひとり）     独りで映画を見た      　彼は独りで暮らしている（くらしている）        　　独りで部屋を掃除した
    独自     一个看电影。       他独自生活。        一个人打扫房间。
３５０．苦労（くろう）     彼は苦労して成功した（せいこうした）　苦労が報われる（むくわれる）         苦労が続く（つづく）
    辛苦     他辛苦奋斗取得了成功。       辛苦会得到回报。        辛苦仍在继续。
３５１．散歩（さんぽ）　　　公園で散歩する         犬と散歩する     　夜の散歩が好きです
    散步     在公园散步。       和狗散步。           喜欢夜间散步。
３５２．腐る（くさる）　　　食べ物が腐る     歯が腐る      木が腐る（きがくさる）
    腐烂     食物腐烂。         牙齿腐烂。         木头腐烂。
３５３．満ちる（みちる）　　部屋は人で満ちる       幸せで満ちる（しあわせでみちる）       月が満ちる
    充满     房间充满了人。     充满幸福。         月亮圆满。
３５４．覚ます（さます）　　母親は私を覚ました     目覚まし時計で覚ます（めざましどけいで）            音楽で覚ます（おんがくでさます）
    唤醒     妈妈叫醒了我。     用闹钟唤醒。       用音乐唤醒。
３５５．出来るだけ（できるだけ）出来るだけ速く（できるだけ）　　出来るだけ安く        出来るだけ多く
    尽可能      尽可能快。         尽可能便宜。       尽可能多。
３５６．やや            やや遅れて来た（おくれてきた）　　　　やや高い値段（ねだん）         　やや難しい問題
    稍微     稍微迟到。         稍贵的价格。       稍微难的问题。
３５７．決まり         　この決まりは厳しい（きびしい）    　決まりに従ってください（したがってください）         新しい決まりができた
    规定     这个规定很严格。        请遵守规定。     制定了新的规定。
３５８．そのまま         窓そのまま開けておいた            彼はそのまま寝た       そのまま待ってください
    按原样      窗户保持开着。     他就那样睡着了。        请就那样等。
３５９．どれ          　どれが好きですか     　　どれを選びますか（えらびますか）       　　どれがあなたのカバンですか
    哪个     你喜欢哪个？       你选哪个？       哪个是你的包？
３６０．常に（つねに）　　彼は常に笑顔だ（つねにえがおだ）　　　常に努力する（つねにどりょくする）     　彼女は常に遅刻する（つねにちこくする）
    始终     他始终面带微笑。        始终努力。         她总是迟到。
３６１．拍手（はくしゅ）　彼は拍手を受けた（はくしゅをうけた）　皆で拍手しょう        演奏終わりに拍手が起こった（えんそうおわりにはくしゅがおこった）
    鼓掌     他获得了掌声。     大家一起鼓掌。     演出结束时响起了掌声。
３６２．燃える（もえる）　火が燃える（ひがもえる）           情熱が燃える（じょうねつがもえる）        薪が燃える（まきがもえる）
    燃烧     火在燃烧。         热情在燃烧。       木柴在燃烧。
３６３．しきりに        彼はしきりに咳をする（せきをする）   彼女はしきりに質問する（しつもんする）     　　彼はしきりに見回りをした（みまわりをした）
    不断     他不停地咳嗽。     她不停地提问。     他不停地巡逻。
３６４．任せる（まかせる）仕事を彼に任せる（まかせる）       　選択は君に任せる（せんたくはきみに）     料理は母に任せる
    委托     把工作交给他。     选择交给你。     菜肴交给妈妈。
３６５．ふと          　　ふと目が覚めた（めがさめた）        ふと彼を思い出した（おもいだした）      ふと立ちどまった
    突然     突然醒来。         突然想起了他。     突然停下了。
３６６．掃除（そうじ）　　部屋を掃除する      　　毎週掃除をする      　掃除が大変だ（たいへんだ）
    清扫     打扫房间。       每周打扫。         打扫很麻烦。
３６７．好み（このみ） 　彼の好みは変だ（はへんだ）          好みの問題だ（このみのもんだいだ）　　　　　　　　　　　彼女の好みを知ってる（しってる）
    喜好     他的喜好很奇怪。        这是喜好的问题。        我知道她的喜好。
３６８．いたずら       彼はいたずらが好きだ     いたずらをするな       いたずら電話はやめて
    恶作剧      他喜欢恶作剧。     不要恶作剧。     别打恶作剧电话。
３６９．デート         今日はデートの日だ     　デートで映画を見た     彼とデートが楽しかった
    约会     今天是约会日。     约会去看了电影。     和他约会很愉快。
３７０．そっくり       彼女は母にそっくりだ     この料理は本物にそっくり         　彼の声は兄にそっくり
    一模一样           她和母亲一模一样。      这道菜和真品一模一样。     他的声音和哥哥一模一样。
３７１．のんびり       のんびり散歩する       　のんびり休む（やすむ）            のんびり過ごす（すごす）
    悠闲     悠闲地散步。       悠闲地休息。         悠闲地度过。
３７２．替える（かえる）電池を替える（かえる）      　タイヤを替える       　シーツを替える
    更换     更换电池。         更换轮胎。         更换床单。
３７３．履く（はく）　　靴を履く         　靴下をはく       スリッパをはく
    穿       穿鞋。      穿袜子。           穿拖鞋。
３７４．タオル        タオルを持ってきて      　タオルを洗う      タオルを干す（ほす）
    毛巾     带来毛巾。         洗毛巾。           晾毛巾。
３７５．今にも（いまにも）今にも雨がふりそうだ      　今にも泣き出しそうだ（なきだしそうだ）            　　今にも壊れそうな橋
    马上     马上就要下雨了。        马上就要哭出来了。        桥马上就要坏了。
３７６．話題（わだい）　　彼の話題は面白い        新しい話題を提案すると（わだいをていあんする）         話題が尽きない（つきない）
    话题     他的話题很有趣。        提出新的话题。     话题没有尽头。
３７７．広がる（ひろがる）火事が広がる（かじが）            　噂が広がる（うわさが）      影響が広がる（えいきょうがひろがる）
    扩大     火灾正在扩大。     谣言在传播。       影响在扩大。
３７８．先ず（まず）　　　まず計画を立てる（けいかくをたてる）　まず問題を解決しょう（もんだいをかいけつしょう）        先ず自己紹介から始めます（まずじこしょうかいからはじめます）
    首先     首先制定计划。     首先解决问题。     先从自我介绍开始。
３７９．滅多に（めったに）滅多に外出しない（がいしゅつしない）　彼は滅多に怒らない（おこらない）     滅多に映画を見ない（えいがをみない）
    很少     很少外出。         他很少生气。       很少看电影。
３８０．整理（せいり）　　部屋を整理する      　　書類を整理する（しょるいを）         データを整理する
    整理     整理房间。       整理文件。         整理数据。
３８１．準備（じゅんび）　試験の準備する（しけんのじゅんびする）旅行の準備ができた      パーティーの準備を手伝う（をてつだう）
    准备     准备考试。       准备好了旅行。     帮助准备派对。
３８２．メモ          　メモを取る（めもをとる）           メモを見る       メモを書く（かく）
    备忘录      记下备忘录。       查看备忘录。      写备忘录。
３８３．少しも（すこしも）少しも怖くない（こわくない）     　　少しも疲れなかった       少しも間違いない
    一点也不      一点也不怕。     一点也不累。     一点没错。
３８４．断る（ことわる）　彼は申し出を断った（もうしでをことわった）面接の誘いを断る（めんせつのさそいを）          彼女は彼のプロポーズを断った（）
    拒绝     他拒绝了提议。     拒绝了面试邀请。      她拒绝了他的求婚。
３８５．気付く（きづく）　彼がいないことに気づいた（きづいた）　ミスを気づくのが遅かった（おそかった）      彼女の変化に気付かなかった（へんかきづかなかった）
    注意到      注意到他不在。        发现错误的时间太晚。       没注意到她的变化。
３８６．手伝い（てつだい）彼女は手伝いを求めた（もとめた）   　　私は彼に手伝いました（てつだいました）           手伝いが必要ですか（てつだいがひつようですか）
    帮助     她请求帮助。       我帮了他。         需要帮助吗？
３８７．スケート        彼はスケートが上手です      　スケートリンクで遊ぶ          スケート靴を履く（くつをはく）
    滑冰     他滑冰很棒。       在滑冰场玩。       穿滑冰鞋。
３８８．行動（こうどう）　彼は速い行動を取った（とった）　　　　　行動力がひつようです（こうどうりょく）           彼女の行動は変だ（こうどうはへんだ）
    行动     他采取了迅速的行动。       需要行动力。     她的行为很奇怪。
３８９．こんなに        こんなに寒い日は珍しい（さむいひはめずらしい）こんなに美味しいケーキは始めてた         　こんなに早く着くとは思わなかった（はやくつくとはおもわなかった）
    这样     这么冷的天气很少见。       这么好吃的蛋糕还是第一次吃。      没想到这么快就到了。
３９０．進める（すすめる）彼にほんをすすめる       　　旅行先を進めてください（りょこうさきをすすめて）  　彼女は新しい仕事を勧められた（すすめられた）
    推荐     推荐书给他。       请推荐旅行目的地。      她被推荐了新工作。
３９１．ハイキング       週末にハイキングに行く         　　　ハイキングは楽しい運動だ（うんどうだ）          　山でハイキングを楽しんだ（たのしんだ）
    徒步旅行           周末去徒步旅行。        徒步旅行是一项有趣的运动。        在山上享受了徒步旅行。
３９２．ベンチ         公園にベンチがある       ベンチで休む（やすむ）        　　ベンチに座る（すわる）
    长椅     公园里有长椅。     在长椅上休息。     坐在长椅上。
３９３．しまった       しまった、忘れた（わすれた）         しまった、遅刻だ（ちこくだ）        しまった、失敗した（しっぱいした）
    糟糕     糟糕，忘记了。     糟糕，迟到了。       糟糕，失败了。
３９４．分かる（わける）　ケーキを分ける      　　部屋を二つに分ける（ふたつにわける）            　　　役割を分ける（やくわりをわける）
    分开     分开蛋糕。         把房间分成两个。        分配角色。
３９５．休憩（きゅうけい）休憩時間です      休憩を取ります（とります）        　休憩室で待ってる（きゅうしつでまってる）
    休息     休息时间。           休息一下。         在休息室等。
３９６．次々      　　　次々と出てくる（でてくる）          次々に失敗する（つぎつぎにしっぱいする）       次々と問題が起こる（おこる）
    一连串      一连串出现。      一个接一个地失败。        问题接连发生。
３９７．合図（あいず）　　彼は私に合図を送った            合図を待っている       　彼女は目で合図した（めであいずした）
    信号     他给我发了信号。        在等待信号。       她用眼神发出信号。
３９８．刈る（かる）　　　草を刈る（くさを）      髪を刈る（かみをかる）            　稲を刈る（いねをかる）
    割     割草。     剪头发。     割稻。
３９９．手品（てじな） 　彼は手品が得意だ（てじながとくいだ）　手品を見せてください     彼女は手品を練習している（てじなをれんしゅうしている）
    魔术     他擅长魔术。       请给我看看魔术。     她正在练习魔术。
４００．集中（しゅうちゅう）勉強に集中する     　仕事に集中しろ      音楽に集中する（おんがくにしゅうちゅうする）
    集中     集中学习。         专心工作。         专注于音乐。
