１．運ぶ（はこぶ）　　荷物を運ぶ       ピアノを運ぶ          人を運ぶ
７９．お宅（おたく）  　お宅はどこですか       　お宅へ行きます                　　お宅は広いです
    贵府               您家在哪里？                   我去您家。                   您家很大。
８０．祖母（そぼ）     祖母は料理が上手です　　　祖母は庭で花を植える（うえる）      祖母は毎週日曜日に教会に行く（きょうかい）
    祖母               祖母擅长做饭。                 祖母在花园里种花。           祖母每周日去教会。
８１．水道（すいどう）　水道を開ける（あける）　　水道の修理（しゅうり）             水道料金を払う（すいどうりょうきん）
    自来水             打开水龙头。                   水管维修。                   支付水费。
８２．ほめる　　　　　先生が私をほめる          彼の努力をほめる（どりょくをほめる）　彼女はいつも褒められる
    赞美               老师表扬我。                   赞美他的努力。               她总是被赞美。
８３．家内（かない）　家内が料理を作る          家内で遊ぶ（あそぶ）             　家内で映画を見る
    妻子               妻子做饭。                     在家里玩。                     在家里看电影。
８４．カーテン     　カーテンを閉める（しめる）　カーテンを開ける（あける）          カーテンを洗う
    窗帘               拉上窗帘。                     打开窗帘。                     洗窗帘。
８５．お嬢さん（おじょうさん）　おじょうさん、こんにちわ        お嬢さんはきれいです  おじょうさん、お茶をどうぞ
    姑娘               你好，小姐。                   姑娘很漂亮。                   请喝茶，小姐。
８６．ちゃん      　ゆきちゃん              たけしちゃん                      さとみちゃん
    小名               雪雪。                         武士。                         幸美。
８７．謝る（あやまる）彼は謝りました          遅れて謝る（おくれて）               間違いを謝る（あやまる）
    道歉               他道歉了。                     为迟到道歉。                   为错误道歉。
８８．遠慮（えんりょ）遠慮しないでください     遠慮なくいって                      彼は遠慮がちだ
    客气               请不要客气。                   请直说。                     他很客气。
８９．赤んちゃん   赤んちゃんが泣いている（ないている）　赤んちゃんを抱く（をだく）        赤んちゃんは寝ている（ねている）
    婴儿               婴儿在哭。                     抱婴儿。                       婴儿在睡觉。
９０．おいでになる   先生がおいでになる　　お客様がおいでになる             彼がおいでになる
    来               老师来了。                     客人来了。                     他来了。
９１．ご主人（ごしゅじん）　彼は私のごじゅじんです　　　ごじゅじんはどこにいますか　　　ごじゅじんは仕事に行きました
    丈夫               他是我的丈夫。                 先生在哪里？                   丈夫去工作了。
９２．男性（だんせい）彼は男性です           男性の名前                       男性向け商品（むけしょうひん）
    男性               他是男性。                     男性的名字。                   面向男性的商品。
９３．冷房（れいぼう）冷房をつけてください   　冷房が効いている（きいている）       冷房が壊れた（こわれた）
    空调               请开空调。                     空调很有效。                   空调坏了。
９４．けんかする    兄弟はよくけんかする　　　彼らはけんかして別れた（わかれた）  　　けんかはやめてください
    打架               兄弟们经常打架。               他们吵架分开了。               请停止打架。
９５．育てる（そだてる）　子供を育てる 　　　　植物を育てる（しょくぶつをそだてる）　　才能を育てる（さいのう）
    培养               培养孩子。                     培养植物。                     培养才能。
９６．高校生（こうこうせい）彼は高校生です       高校生は勉強が大事（だいじ）      　こうこうせいのとき、友達が多かった
    高中生             他是高中生。                   高中生学习很重要。           高中时朋友很多。
９７．復習（ふくしゅう）　今日は復習しましょう　　復習が大切です                　　試験前に復習しょう
    复习               今天复习吧。                   复习很重要。                   考试前复习。
９８．先輩（せんぱい）　　先輩に教えてもらう     先輩はいい人だ          　　　　　先輩と話す
    前辈               向前辈请教。                   前辈是好人。                   和前辈谈话。
９９．入学（にゅうがく）　来年入学します        入学試験に合格した（ごうかくした）　　彼は大学生に入学した
    入学               明年入学。                     通过了入学考试。             他入学了大学。
１００．講堂（こうどう）　大学の講堂で講義がある（こうぎがある）　講堂で先生が話す     講堂に行く
    讲堂               大学讲堂有讲座。               在讲堂上老师讲课。           去讲堂。
１０１．予習（よしゅう）　明日の授業を予習しょう（じゅぎょうをよしゅうしょう）     予習が大切だ（だいせつだ）　予習をしておく
    预习               明天的课程要预习。               预习很重要。                  预先做预习。
１０２．中学校（ちゅうがっこう）　中学校に行く   中学校の先生                    中学校の友達
    中学               去中学。                       中学老师。                     中学的朋友。
１０３．卒業（そつぎょう）彼は卒業ました        卒業式が近い（そつぎょうしきがちかい）卒業後、就職する（そつぎょうご、しゅうしょくする）
    毕业               他毕业了。                     毕业典礼临近。                 毕业后找工作。
１０４．教育（きょういく）教育はたいせつです　　　彼は教育しゃです               　教育制度を改善する（きょういくせいどをかいぜんする）
    教育               教育很重要。                   他是教育工作者。               改善教育制度。
１０５．講義（こうぎ）　今日の講義は面白かった 　　講義を聞き逃した（ききのがした）　　講義のノートを取る（とる）
    讲义               今天的讲义很有趣。               错过了讲义。                   记讲义的笔记。
１０６．研究室（けんきゅうしつ）彼は研究室にいます　研究室で勉強しました            研究室は静かです（しずかです）
    研究室             他在研究室。                   在研究室学习。                 研究室很安静。
１０７．高等学校（こうとうがっこう）　彼は高等学校に通っている（かよっている）    高等学校の試験が難しい（むずかしい）     高等学校を卒業した
    高中               他在上高等学校。               高中考试很难。                 从高中毕业。
１０８．テキスト       テキストを読む          テキストを書く             テキストを編集する（へんしゅうする）
    课本               读课本。                       写课本内容。                   编辑课本。
１０９．高校（こうこう） 彼は高校を通っている     高校の友達と会った          高校を卒業した
    高中               他正在上高中。                 见到了高中朋友。               从高中毕业。
１１０．大学生（だいがくせい）彼は大学生です　　　　大学生は多いです           大学生の勉強は大変
    大学生             他是大学生。                   大学生很多。                   大学生的学习很辛苦。
１１１．いじめる        彼はいじめられている    いじめはやめてください       彼女はいじめの犠牲者だ（ぎせいしゃだ）
    欺负               他被欺负。                     请停止欺负。                   她是欺负的受害者。
１１２．校長（こうちょう）校長は厳しい（きびしい）　校長に会いました          彼は校長です
    校长               校长很严格。                   见到了校长。                   他是校长。
１１３．小学校（しょうがっこう）彼は小学校に行く   小学校の先生              小学校の友達
    小学               去小学。                       小学老师。                     小学的朋友。
１１４．試験（しけん） 　試験を終わった（おわった）試験に合格する（ごうかくする）試験を勉強する
    考试               完成了考试。                   通过考试。                   学习考试内容。
１１５．数学（すうがく）数学が好きです         　数学の先生は厳しい（きびしい）数学の試験に合格した（ごうかくした）
    数学               我喜欢数学。                   数学老师很严格。               数学考试通过了。
１１６．レポート       レポートを書く      　　レポートを提出する（ていしゅつする）　レポートの締め切り（しめきり）
    报告               写报告。                       提交报告。                     报告的截止日期。
１１７．辞典（じてん）　辞典を引く（ひく）       新しい辞典を買う        　　電子辞典を使う（でんしじてんをつかう）
    词典               查词典。                       买新词典。                     使用电子词典。
１１８．昼休み（ひるやすみ）昼休みを寝ます       昼休みは何時ですか       　　昼休みに食べます
    午休               午休时睡觉。                   午休几点？                   午休吃东西。
１１９．研究（けんきゅう）　彼は研究をしている 　研究が好きです            　研究室に行く
    研究               他在做研究。                   喜欢研究。                   去研究室。
１２０．文法（ぶんぽう）　　文法を勉強する     　彼は文法が上手だ         　　文法の誤りを直す（あやまりをなおす）
    语法               学习语法。                     他擅长语法。                   改正语法错误。
１２１．生産（せいさん）   工場で車を生産する（こうじょうで）    農家は野菜を生産する（のうかはやさいをせいさんする）　　国内生産がふえた
    生产               在工厂生产汽车。               农场生产蔬菜。                 国内生产增加。
１２２．パート         　彼女はパートではたらいている    パートの仕事を探している    　パート募集中です（ぼしゅうちゅうです）
    兼职               她在做兼职。                   在找兼职工作。                 兼职招聘中。
１２３．会議室（かいぎしつ）会議室で待っています    会議室は予約しました（よやくしました） 会議室は二階です
    会议室             在会议室等。                   预定了会议室。                 会议室在二楼。
１２４．部長（ぶちょう）　　部長は厳しいです      部長に報告します（ほうこくします）   　部長が会議を開く（ひらく）
    部长               部长很严格。                   向部长汇报。                   部长召开会议。
１２５．工業（こうぎょう） こうぎょうが発展する（はってんする）    工業製品を作る（せいひんをつくる）   工業地帯がある（こうぎょうちたいがある）
    工业               工业发展。                     生产工业产品。                 有工业区。
１２６．事務所（じむしょ） 事務所に行く        　事務所で働く                事務所を探す（さがす）
    办公室             去办公室。                     在办公室工作。               找办公室。
１２７．受付（うけつけ）   受付で名前を言って    受付はどこですか          受付で待っていてください
    接待处             在接待处报上名字。           接待处在哪里？               请在接待处等。
１２８．スーツ         　彼はスーツを着ている 　新しいスーツを買った          スーツケースを持っている
    西装               他穿着西装。                   买了新西装。                   拿着行李箱。
１２９．公務員（こうむいん）彼は公務員です       公務員試験に合格した          公務員は忙しい
    公务员             他是公职人员。                 通过了公务员考试。           公务员很忙。
１３０．会議（かいぎ） 　　会議が始まる（はじまる）会議で話し合う（はなしあう）　会議を終える（おえる）
    会议               会议开始了。                   在会议上讨论。               结束会议。
１３１．社長（しゃちょう）　彼は社長です        社長に会いました            　社長が話しました
    总裁               他是社长。                     见到了社长。                   总裁发言了。
１３２．工場（こうじょう）　彼は工場で働いています　  この工場は自転車を作る 　　　工場見学がある（こうじょうけんがく）
    工厂               他在工厂工作。                 这家工厂生产自行车。         有工厂参观。
１３３．仕方（しかた） 　　仕方がない             これは私の仕方です       　　新しい仕方を試す（ためす）
    方法               没办法。                       这是我的方法。               尝试新的方法。
１３４．アルバイト       アルバイトを探す        アルバイト先（さき）         アルバイト中（ちゅう）
    兼职工作           找兼职。                       兼职工作地点。               在兼职中。
１３５．課長（かちょう）　課長は厳しい（きびしい）   課長に報告する（ほうこくする） 課長が会議に出る（でる）
    课长               课长很严格。                   向课长汇报。                   课长参加会议。
１３６．運転手（うんてんしゅ）彼は運転手です      　運転手を呼んでください        運転手が遅れました（おくれました）
    司机               他是司机。                     请叫司机。                   司机迟到了。
１３７．アナウンサー      彼はアナウンサーです     アナウンサーがニュースを読む   アナウンサーの仕事は大変だ
    主播               他是主播。                     主播播报新闻。                 主播的工作很辛苦。
１３８．一所懸命（いっしょうけんめい）　一生懸命勉強する        一生懸命働く（はたらく）      一生懸命走る（はしる）
    拼命               拼命学习。                     拼命工作。                     拼命跑。
１３９．手伝う（てつだう）   彼女に手伝ってください 　料理を手伝います             宿題を手伝った
    帮助               请帮我。                       帮忙做菜。                     帮助做作业。
１４０．眠る（ねむる） 　　今夜は早く眠る（こんやははやく）　彼はソファで眠った        猫が日向で眠っている（ひなたでねむっている）
    睡觉               今晚早些睡。                   他在沙发上睡着了。           猫在阳光下睡觉。
１４１．水泳（すいえい）　　彼は水泳が得意だった（がとくいだ）　夏は水泳に最適だ（にさいてきだ）　水泳大会に出場する（しゅつじょうする）
    游泳               他擅长游泳。                   夏天最适合游泳。               参加游泳比赛。
１４２．参る（まいる） 　　神社に参ります（じんじゃ） 　　　　　お墓に参る（おはかにまいる）   　初詣で参ります（はつもうでまいります）
    参拜               去神社参拜。                   去墓地参拜。                   去初詣。
１４３．壊れる（こわれる）　電話が壊れた                    窓が壊れる                   時計が壊れる
    坏                 电话坏了。                     窗户坏了。                   钟表坏了。
１４４．玩具（おもちゃ）　　彼は玩具を買った              　子供たちは玩具で遊んでいる（あそんでいる）　玩具を片付けてください（かたづけてください）
    玩具               买了玩具。                     孩子们在玩玩具。               请收拾玩具。
１４５．忘れ物（わすれもの）忘れ物を見つけた（みつけた）      忘れ物を取りに行く             忘れ物が多いです（おおいです）
    遗忘物品         找到了遗忘的东西。             去取遗忘的东西。               遗忘物品很多。
１４６．やっと         　やっと仕事を終わった（おわった）   やっと試験に合格した（しけんにごうかくした）  やっと雨が止んだ（やんだ）
    终于               终于完成了工作。               终于通过了考试。               雨终于停了。
１４７．合う（あう）      サイズが合う                    予定が合う                 味が合う
    合适               尺寸合适。                     时间合适。                   味道合适。
１４８．なるべく        　なるべく早く来てください       　なるべく安いものを買いたい      なるべく静かにしてください
    尽可能           请尽量早来。                   想买尽可能便宜的东西。       请尽量保持安静。
１４９．日記（にっき）     毎日日記を書く                 日記に感想を書く（かんそうをかく）　日記を読み返す（よみかえす）
    日记               每天写日记。                   在日记中写感想。               重读日记。
１５０．集まる（あつまる） 　人々が集まる（ひとびと）         鳥が木に集まる                友達が家に集まる
    聚集               人们聚集在一起。               鸟聚集在树上。                 朋友们聚集在家。
１５１．鳴る（なる）      電話が鳴る                   　ドアベルが鳴る                  目覚まし時計が鳴る（めざましどけいがなる）
    响                 电话响了。                     门铃响了。                     闹钟响了。
１５２．不便（ふべん）    この道は不便です                 不便な場所に住んでいます        　彼は不便を感じる
    不便               这条路不方便。                 住在不方便的地方。             他感到不便。
１５３．包む（つつむ）     プレゼントを包む            　　赤ちゃんを包む                   手紙を包む
    包装               包装礼物。                     包裹婴儿。                     包裹信件。
１５４．テニス           テニスをします               　テニスが好きです               　　テニスコートで遊ぶ（あそぶ）
    网球               打网球。                       喜欢网球。                     在网球场玩。
１５５．大抵（たいてい）　　たいてい人は忙しい             たいてい朝ごはんを食べる         　たいてい雨が降る
    大多数             大多数人很忙。                 通常吃早餐。                   大多数情况下下雨。
１５６．込む（こむ）     電車が込んでいる（こんでいる）  　　店が込んでいた                    朝の通勤が込む（あさのつうきんがこむ）
    拥挤               火车很拥挤。                   商店很挤。                     早高峰通勤拥挤。
１５７．発音（はつおん）　発音を練習する               　彼の発音は正確だ（せいかくだ）       発音が難しい言葉
    发音               练习发音。                     他的发音很准确。               发音困难的单词。
１５８．急ぐ（いそぐ） 　急いでください                　　彼は急いでいる                   急いで食べた
    急                 请快点。                       他很着急。                     吃得很快。
１５９．調べる（しらべる）彼は事故を調べる（じこをしらべる）　　彼女は資料を調べる（しりょうをしらべる）病院の原因を調べる（びょういんのげんいんをしらべる）
    调查               调查事故。                     她查找资料。                   调查医院的原因。
１６０．片付ける（かたづける） 部屋を片付ける             　机を片付ける                     荷物を片付ける
    收拾               收拾房间。                     收拾桌子。                     收拾行李。
１６１．見える（みえる）  山が見える                     鳥が見える                       海が見える
    看得见             能看到山。                     能看到鸟。                     能看到海。
１６２．変わる（かわる）  季節が変わる                　　気温が変わる（きおんがかわる）       彼の態度が変わる（たいどがかわる）
    变化               季节在变。                     温度在变。                     他的态度在变。
１６３．趣味（しゅみ）　　彼の趣味は読書です（どくしょです）　趣味は会いますか？                趣味は何ですか
    兴趣               他的兴趣是阅读。               你有什么兴趣？                  你的兴趣是什么？
１６４．上る（のぼる） 　階段を上る                      山に上る                        電車に上る
    上升               上楼梯。                       爬山。                         上火车。
１６５．普通（ふつう） 　彼は普通の人です               　普通の電車で行きます            普通の食事を食べます（ふつうのしょくじをたべます）
    普通               他是普通人。                   坐普通列车。                   吃普通的饭菜。
１６６．試合（しあい）　　試合に勝つ（かつ）          　　試合を見る                     　试合が始まる（はじまる）
    比赛               赢得比赛。                     看比赛。                       比赛开始了。
１６７．簡単（かんたん）　この問題は簡単だ（このもんだい）　简单的料理を作る                  彼は簡単に答えた（にこたえた）
    简单               这个问题简单。                 做简单的菜。                   他简单回答。
１６８．騒ぐ（さわぐ）　　子供たちが騒いでいる           騒がしい音楽が聞こえる（さわがしいおんがく）　彼は騒ぎを止めた（さわぎをとめた）
    骚扰               孩子们在吵闹。                 听到吵闹的音乐。               他制止了骚动。
１６９．続く（つづく）　　雨が続く                    道が続く                       話が続く
    继续               雨持续。                       路继续。                       话题继续。
１７０．会話（かいわ）　　彼と会話が楽しい           　　会話を続けましょう（つづけましょう）彼女は会話が上手だ
    会话               和他聊天很愉快。               继续对话吧。                   她擅长交谈。
１７１．飾る（かざる）　　部屋を飾る                  花で飾る                        壁に絵を飾る（かべにえをかざる）
    装饰               装饰房间。                     用花装饰。                     在墙上挂画。
１７２．掛ける（かける）　電話を掛ける             　　眼鏡をかける（めがねをかける）       壁に絵を掛ける
    挂                 打电话。                       戴眼镜。                       挂画在墙上。
