  辞書形        ない形         ます形       て形         意向形       中文意思
  きまる        きまらない     きまります    きまって      きまろう      决定            
  だす          ださない       だします      だして        だそう        拿出，提出      
  変える        変えない       変えます      変えて        変えよう      改变            
  ためる        ためない       ためます      ためて        ためよう      积累，储存      
  うえる        うえない       うえます      うえて        うえよう      种植            
  ほる          ほらない       ほります      ほって        ほろう        挖掘            
  たてる        たてない       たてます      たてて        たてよう      建立            
  あたためる    あたためない   あたためます  あたためて    あたためよう  加热            
  まもる        まもらない     まもります    まもって      まもろう      保护            
  かたづける    かたづけない   かたづけます  かたづけて    かたづけよう  整理            
  ひやす        ひやさない     ひやします    ひやして      ひやそう      冷却            
  しまう        しまわない     しまいます    しまって      しまおう      收起            
  かくす        かくさない     かくします    かくして      かくそう      隐藏            
  けす          けさない       けします      けして        けそう        消除，删除      
  しめる        しめない       しめます      しめて        しめよう      关闭            
  だす          ださない       だします      だして        だそう        拿出，提出      
  はる          はらない       はります      はって        はろう        粘贴            
  はやる        はやらない     はやります    はやって      はやろう      流行            
  むく          むかない       むきます      むいて        むこう        剥皮            
  あたる        あたらない     あたります    あたって      あたろう      碰撞，击中      
  とぶ          とばない       とびます      とんで        とぼう        飞              
  いただく      いただかない   いただきます  いただいて    いただこう    接受（礼物等）   
  ひかる        ひかない       ひかります    ひかって      ひかろう      照耀，发光      
  まわる        まわらない     まわります    まわって      まわろう      旋转            
  のせる        のせない       のせます      のせて        のせよう      放置，装载      
  えらぶ        えらばない     えらびます    えらんで      えらぼう      选择            
  まにあう      まにあわない   まにあいます  まにあって    まにあおう    来得及          
  あきらめる    あきらめない   あきらめます  あきらめて    あきらめよう  放弃            
  うれる        うれない       うれます      うれて        うれよう      卖出            
  とる          とらない       とります      とって        とろう        取得，采取      
  いかす        いかさない     いかします    いかして      いかそう      利用            
  はいる        はいらない     はいります    はいって      はいろう      进入            
  はれる        はれない       はれます      はれて        はれよう      晴天            
  やむ          やまない       やみます      やんで        やもう        停止（雨等）    
  まちがえる    まちがえない   まちがえます  まちがえて    まちがえよう  出错            
  まける        まけない       まけます      まけて        まけよう      输              
  かつ          かたない       かちます      かって        かとう        赢              
  やめる        やめない       やめます      やめて        やめよう      停止，辞职      
  たく          たかない       たきます      たいて        たこう        煮              
  はかる        はからない     はかります    はかって      はかろう      测量            
  すべる        すべらない     すべります    すべって      すべろう      滑倒            
  まねく        まねかない     まねきます    まねいて      まねこう      招呼            
  もちあるく    もちあるかない  もちあるきます  もちあるいて  もちあるこう  携带，提着      
  うる          うらない       うります      うって        うろう        卖出            
  さわぐ        さわがない     さわぎます    さわいで      さわごう      喧闹            
  よぶ          よばない       よびます      よんで        よぼう        呼叫            
  ふる          ふらない       ふります      ふって        ふろう        下（雨、雪等）  
  しかる        しからない     しかります    しかって      しかろう      责骂            
  ほめる        ほめない       ほめます      ほめて        ほめよう      赞扬            
  おこす        おこさない     おこします    おこして      おこそう      唤醒，造成      
  こぼす        こぼさない     こぼします    こぼして      こぼそう      洒，溢出        
  さす          ささない       さします      さして        さそう        刺，插入        
  ひらく        ひらかない     ひらきます    ひらいて      ひらこう      打开            
  おこなう      おこなわない   おこないます  おこなって    おこなおう    执行，进行      
  したしむ      したしんない   したしみます  したしんで    したしもう    亲近            
  すすめる      すすめない     すすめます    すすめて      すすめよう    推荐            
  うたがう      うたがわない   うたがいます  うたがって    うたがおう    怀疑            
  いきる        いきない       いきます      いきて        いこう        生活            
  ころす        ころさない     ころします    ころして      ころそう      杀死            
  やける        やけない       やけます      やけて        やけよう      烧，烤          
  にあう        にあわない     にあいます    にあって      にあおう      合适            
  あらわす      あらわさない   あらわします  あらわして    あらわせよう  表达            
  よごす        よごさない     よごします    よごして      よごそう      使脏            
  いじめる      いじめない     いじめます    いじめて      いじめよう    欺负            
  まちがう      まちがわない   まちがいます  まちがって    まちがえよう  错误            
  おちてくる    おちてこない   おちてきます  おちてきて    おちてこよう  掉下来          
  たつ          たたない       たちます      たって        たとう        站立            
  すすむ        すすまない     すすみます    すすんで      すすもう      进展，前进      
  あつまる      あつまらない   あつまります  あつまって    あつまろう    聚集            
  のこる        のこらない     のこります    のこって      のころう      剩余            
  ゆずる        ゆずらない     ゆずります    ゆずって      ゆずろう      让步            
  うまくいく    うまくいかない   うまくいきます  うまくいって  うまくいこう  顺利            
  つきあう      つきあわない   つきあいます  つきあって    つきあおう    交往            
  なやむ        なやまない     なやみます    なやんで      なやもう      烦恼            
  はなしあう    はなしあわない  はなしあいます  はなしあって  はなしあおう  交谈            
  そめる        そめない       そめます      そめて        そめよう      染色            
  かける        かけない       かけます      かけて        かけよう      借             
  のばす        のばさない     のばします    のばして      のばそう      延长            
  まなぶ        まなばない     まなびます    まなばんで    まなぼう      学习            
  いらっしゃる  いらっしゃらない  いらっしゃいます  いらっしゃって  いらっしゃおう  来             
  めしあがる    めしあがらない  めしあがります  めしあがって  めしあがろう  吃（敬语）      
  おっしゃる    おっしゃらない  おっしゃいます  おっしゃって  おっしゃおう  说（敬语）      
  ごらんになる  ごらんにならない  ごらんになります  ごらんになって  ごらんにしよう  看（敬语）      
  なさる        なさらない     なさいます    なさって      なさろう      做（敬语）      
  くださる      くださらない   くださいます  くださって    くださろう    给（敬语）      
  おせわになる  おせわにならない  おせわになります  おせわになって  おせわになろう  照顾（敬语）    
  きがえる      きがえない     きがえます    きがえて      きがえよう    换衣服          
  しめる        しめない       しめます      しめて        しめよう      关闭            
  ねがう        ねがわない     ねがいます    ねがって      ねがおう      请求，祈求      
  まいる        まいらない     まいります    まいって      まいろう      来（敬语）      
  もうす        もうさない     もうします    もうして      もうそう      说（敬语）      
  いたす        いたさない     いたします    いたして      いたそう      做（敬语）      
  うかがう      うかがわない   うかがいます  うかがって    うかがおう    拜访，询问      
  むすぶ        むすばない     むすびます    むすんで      むすぼう      连接            
  はずす        はずさない     はずします    はずして      はずそう      拆除，外去      
  すごす        すごさない     すごします    すごして      すごそう      度过            
  つとめる      つとめない     つとめます    つとめて      つとめよう    努力，工作      
  むかう        むかわない     むかいます    むかって      むかおう      朝向            

如果你还有其他问题或需要任何进一步的帮助，请随时告诉我！
